Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.52588e-05, IMG_DATA, , , , , , , , , , Image_00000 
1.03837, IMU_DATA, 0.48125, -1.5925, -0.00875, 16380, -142, -911, , , , , 
0.981049, IMG_DATA, , , , , , , , , , Image_00010 
1.04317, IMU_DATA, 0.49875, -1.48312, -0.0525, 16426, -172, -979, , , , , 
1.04797, IMU_DATA, 0.380625, -1.26, -0.118125, 16431, -122, -954, , , , , 
1.05277, IMU_DATA, 0.41125, -1.085, -0.2275, 16418, -103, -1067, , , , , 
1.05757, IMU_DATA, 0.55125, -0.914375, -0.275625, 16387, -114, -961, , , , , 
1.06237, IMU_DATA, 0.634375, -0.6825, -0.2975, 16355, -44, -933, , , , , 
1.06717, IMU_DATA, 0.756875, -0.555625, -0.35, 16358, -46, -1114, , , , , 
1.07197, IMU_DATA, 0.756875, -0.406875, -0.35, 16390, -95, -976, , , , , 
1.07677, IMU_DATA, 0.58625, -0.205625, -0.468125, 16303, 35, -880, , , , , 
1.08157, IMU_DATA, 0.616875, -0.06125, -0.5075, 16300, 75, -958, , , , , 
1.08637, IMU_DATA, 0.6475, 0.105, -0.41125, 16310, 93, -841, , , , , 
1.09117, IMU_DATA, 0.55125, 0.44625, -0.196875, 16398, 47, -685, , , , , 
1.09597, IMU_DATA, 0.433125, 0.67375, -0.1925, 16361, 156, -513, , , , , 
1.10077, IMU_DATA, 0.46375, 0.608125, -0.380625, 16359, 202, -442, , , , , 
1.10557, IMU_DATA, 0.41125, 0.625625, -0.3325, 16417, 117, -226, , , , , 
1.11037, IMU_DATA, 0.424375, 0.6475, -0.18375, 16399, 84, -73, , , , , 
1.11517, IMU_DATA, 0.529375, 0.625625, -0.056875, 16377, 41, 16, , , , , 
1.11997, IMU_DATA, 0.5425, 0.58625, 0.04375, 16415, -64, 197, , , , , 
1.12477, IMU_DATA, 0.5425, 0.315, -0.00875, 16359, 56, 285, , , , , 
1.12957, IMU_DATA, 0.599375, -0.021875, -0.161875, 16266, 92, 393, , , , , 
1.13437, IMU_DATA, 0.511875, -0.11375, 0.091875, 16395, -194, 356, , , , , 
