Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.0, IMG_DATA, , , , , , , , , , Image_00000 
0.842626, IMU_DATA, 0.546875, -0.65625, 0.363125, 16419, -167, -143, , , , , 
0.847425, IMU_DATA, 0.485625, -0.6125, 0.2625, 16380, -174, -154, , , , , 
0.852225, IMU_DATA, 0.46375, -0.581875, 0.20125, 16370, -177, -143, , , , , 
0.805908, IMG_DATA, , , , , , , , , , Image_00008 
0.857026, IMU_DATA, 0.511875, -0.65625, 0.170625, 16364, -162, -148, , , , , 
0.861825, IMU_DATA, 0.503125, -0.735, 0.105, 16378, -199, -137, , , , , 
0.866626, IMU_DATA, 0.503125, -0.805, 0.039375, 16378, -234, -143, , , , , 
0.871426, IMU_DATA, 0.485625, -0.800625, 0.039375, 16400, -256, -131, , , , , 
0.876225, IMU_DATA, 0.476875, -0.7175, -0.065625, 16416, -227, -144, , , , , 
0.881026, IMU_DATA, 0.503125, -0.70875, -0.118125, 16403, -246, -181, , , , , 
0.885826, IMU_DATA, 0.494375, -0.739375, -0.1225, 16403, -268, -174, , , , , 
0.890625, IMU_DATA, 0.46375, -0.756875, -0.18375, 16345, -274, -175, , , , , 
0.895426, IMU_DATA, 0.459375, -0.79625, -0.240625, 16345, -302, -184, , , , , 
0.900226, IMU_DATA, 0.44625, -0.77, -0.266875, 16353, -285, -196, , , , , 
0.905025, IMU_DATA, 0.4025, -0.704375, -0.284375, 16357, -270, -180, , , , , 
0.909826, IMU_DATA, 0.4025, -0.625625, -0.249375, 16388, -269, -175, , , , , 
0.914626, IMU_DATA, 0.485625, -0.70875, -0.16625, 16400, -332, -168, , , , , 
0.919425, IMU_DATA, 0.503125, -0.7525, -0.105, 16417, -316, -216, , , , , 
0.924226, IMU_DATA, 0.56875, -0.765625, -0.1225, 16441, -313, -216, , , , , 
0.929026, IMU_DATA, 0.49, -0.616875, -0.214375, 16386, -246, -206, , , , , 
0.933825, IMU_DATA, 0.468125, -0.494375, -0.2625, 16377, -229, -193, , , , , 
0.938626, IMU_DATA, 0.468125, -0.53375, -0.284375, 16349, -223, -193, , , , , 
0.943426, IMU_DATA, 0.5425, -0.69125, -0.28, 16356, -163, -191, , , , , 
0.948225, IMU_DATA, 0.525, -0.713125, -0.240625, 16359, -151, -194, , , , , 
0.953026, IMU_DATA, 0.525, -0.7175, -0.205625, 16366, -134, -183, , , , , 
0.957826, IMU_DATA, 0.433125, -0.65625, -0.144375, 16397, -129, -205, , , , , 
0.905884, IMG_DATA, , , , , , , , , , Image_00009 
0.962626, IMU_DATA, 0.433125, -0.634375, -0.091875, 16417, -92, -182, , , , , 
0.967425, IMU_DATA, 0.49875, -0.651875, -0.105, 16422, -44, -188, , , , , 
0.972226, IMU_DATA, 0.529375, -0.6475, -0.118125, 16376, -30, -194, , , , , 
0.977026, IMU_DATA, 0.5425, -0.651875, -0.13125, 16354, -20, -188, , , , , 
0.981825, IMU_DATA, 0.51625, -0.651875, -0.105, 16354, 10, -161, , , , , 
0.986626, IMU_DATA, 0.494375, -0.60375, -0.056875, 16350, 9, -153, , , , , 
0.991426, IMU_DATA, 0.525, -0.625625, 0.07, 16376, -21, -145, , , , , 
0.996225, IMU_DATA, 0.5425, -0.634375, 0.1925, 16393, -49, -153, , , , , 
