Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
16, IMG_DATA, , , , , , , , , , Image_00000 
765058.0, IMU_DATA, 116, -146, -15, 1362, 16221, -746, , , , , 
769858.0, IMU_DATA, 104, -130, -15, 1361, 16222, -738, , , , , 
774658.0, IMU_DATA, 98, -134, -20, 1344, 16227, -743, , , , , 
779458.0, IMU_DATA, 100, -137, -14, 1323, 16226, -776, , , , , 
784258.0, IMU_DATA, 100, -136, -6, 1354, 16238, -769, , , , , 
789058.0, IMU_DATA, 88, -134, -7, 1342, 16219, -731, , , , , 
793858.0, IMU_DATA, 108, -136, -7, 1363, 16221, -751, , , , , 
798658.0, IMU_DATA, 126, -121, -15, 1363, 16221, -757, , , , , 
803458.0, IMU_DATA, 91, -101, -10, 1371, 16213, -773, , , , , 
808258.0, IMU_DATA, 60, -102, -10, 1350, 16227, -760, , , , , 
813058.0, IMU_DATA, 66, -115, -9, 1356, 16215, -744, , , , , 
817858.0, IMU_DATA, 98, -137, -9, 1395, 16236, -748, , , , , 
822658.0, IMU_DATA, 126, -164, -18, 1347, 16224, -764, , , , , 
827458.0, IMU_DATA, 142, -171, -30, 1366, 16237, -744, , , , , 
832258.0, IMU_DATA, 115, -128, -24, 1381, 16222, -746, , , , , 
837058.0, IMU_DATA, 101, -118, -13, 1365, 16222, -731, , , , , 
841858.0, IMU_DATA, 103, -141, -7, 1354, 16215, -745, , , , , 
846658.0, IMU_DATA, 107, -132, -8, 1353, 16225, -752, , , , , 
851458.0, IMU_DATA, 91, -116, -1, 1379, 16236, -752, , , , , 
856258.0, IMU_DATA, 65, -109, 1, 1374, 16243, -753, , , , , 
861058.0, IMU_DATA, 61, -110, -7, 1356, 16218, -759, , , , , 
815587, IMG_DATA, , , , , , , , , , Image_00008 
865858.0, IMU_DATA, 79, -109, -5, 1378, 16240, -760, , , , , 
870658.0, IMU_DATA, 97, -116, -1, 1365, 16240, -764, , , , , 
875458.0, IMU_DATA, 112, -140, -6, 1368, 16226, -743, , , , , 
880258.0, IMU_DATA, 129, -140, -7, 1362, 16228, -724, , , , , 
885058.0, IMU_DATA, 128, -139, -13, 1387, 16228, -763, , , , , 
889858.0, IMU_DATA, 123, -149, -12, 1370, 16210, -751, , , , , 
894658.0, IMU_DATA, 116, -150, -13, 1360, 16214, -737, , , , , 
899458.0, IMU_DATA, 99, -142, -11, 1351, 16201, -746, , , , , 
904258.0, IMU_DATA, 99, -142, -1, 1352, 16216, -749, , , , , 
909058.0, IMU_DATA, 111, -148, -8, 1349, 16231, -733, , , , , 
913858.0, IMU_DATA, 109, -150, -17, 1348, 16231, -742, , , , , 
918658.0, IMU_DATA, 100, -152, -12, 1354, 16225, -745, , , , , 
923458.0, IMU_DATA, 96, -138, 1, 1385, 16243, -763, , , , , 
928258.0, IMU_DATA, 101, -115, -4, 1354, 16224, -736, , , , , 
933058.0, IMU_DATA, 112, -120, -9, 1368, 16210, -766, , , , , 
937858.0, IMU_DATA, 151, -157, -24, 1363, 16230, -744, , , , , 
942658.0, IMU_DATA, 142, -144, -26, 1379, 16209, -757, , , , , 
947458.0, IMU_DATA, 106, -130, -16, 1347, 16208, -735, , , , , 
952258.0, IMU_DATA, 98, -128, -15, 1375, 16228, -750, , , , , 
957058.0, IMU_DATA, 110, -125, -20, 1356, 16207, -752, , , , , 
961858.0, IMU_DATA, 111, -125, -23, 1359, 16203, -734, , , , , 
966658.0, IMU_DATA, 102, -128, -22, 1360, 16227, -735, , , , , 
915596, IMG_DATA, , , , , , , , , , Image_00009 
971458.0, IMU_DATA, 85, -136, -23, 1372, 16240, -751, , , , , 
976258.0, IMU_DATA, 91, -136, -22, 1339, 16219, -750, , , , , 
981058.0, IMU_DATA, 107, -153, -22, 1349, 16225, -753, , , , , 
985858.0, IMU_DATA, 121, -153, -15, 1340, 16221, -757, , , , , 
990658.0, IMU_DATA, 121, -144, -12, 1346, 16228, -740, , , , , 
995458.0, IMU_DATA, 108, -149, -8, 1357, 16216, -741, , , , , 
1.00026e+06, IMU_DATA, 98, -153, -12, 1369, 16234, -749, , , , , 
1.00506e+06, IMU_DATA, 103, -142, -22, 1380, 16231, -759, , , , , 
1.00986e+06, IMU_DATA, 117, -149, -24, 1362, 16233, -746, , , , , 
1.01466e+06, IMU_DATA, 106, -141, -16, 1336, 16208, -734, , , , , 
1.01946e+06, IMU_DATA, 81, -99, -4, 1377, 16217, -747, , , , , 
1.02426e+06, IMU_DATA, 82, -100, -8, 1361, 16207, -728, , , , , 
1.02906e+06, IMU_DATA, 103, -128, -19, 1356, 16229, -738, , , , , 
1.03386e+06, IMU_DATA, 136, -166, -24, 1358, 16209, -755, , , , , 
1.03866e+06, IMU_DATA, 117, -151, -24, 1365, 16212, -741, , , , , 
1.04346e+06, IMU_DATA, 99, -137, -25, 1371, 16235, -758, , , , , 
1.04826e+06, IMU_DATA, 91, -129, -16, 1387, 16239, -742, , , , , 
1.05306e+06, IMU_DATA, 100, -137, -13, 1354, 16219, -756, , , , , 
1.05786e+06, IMU_DATA, 130, -153, -16, 1372, 16221, -753, , , , , 
1.06266e+06, IMU_DATA, 158, -171, -16, 1367, 16206, -749, , , , , 
1.06746e+06, IMU_DATA, 122, -135, -15, 1379, 16212, -765, , , , , 
1.07226e+06, IMU_DATA, 92, -118, -15, 1327, 16226, -737, , , , , 
1015587, IMG_DATA, , , , , , , , , , Image_00010 
