Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.603183, IMU_DATA, 0.49, -0.72625, -0.1225, 16356, -11, -389, , , , , 
0.607982, IMU_DATA, 0.468125, -0.6475, -0.153125, 16391, 4, -398, , , , , 
0.612782, IMU_DATA, 0.56875, -0.756875, -0.126875, 16384, -7, -397, , , , , 
0.617583, IMU_DATA, 0.6825, -0.975625, -0.153125, 16356, 16, -373, , , , , 
0.622382, IMU_DATA, 0.616875, -0.95375, -0.14875, 16380, 6, -376, , , , , 
0.627182, IMU_DATA, 0.468125, -0.77, -0.091875, 16373, -8, -385, , , , , 
0.631983, IMU_DATA, 0.406875, -0.6825, -0.105, 16404, -10, -377, , , , , 
0.636782, IMU_DATA, 0.529375, -0.783125, -0.144375, 16388, 25, -399, , , , , 
0.641582, IMU_DATA, 0.590625, -0.8575, -0.105, 16417, 3, -384, , , , , 
0.606483, IMG_DATA, , , , , , , , , , Image_00006 
0.646383, IMU_DATA, 0.538125, -0.7525, -0.109375, 16404, -5, -389, , , , , 
0.651182, IMU_DATA, 0.485625, -0.651875, -0.09625, 16375, 5, -419, , , , , 
0.655982, IMU_DATA, 0.468125, -0.669375, -0.074375, 16379, -1, -392, , , , , 
0.660783, IMU_DATA, 0.525, -0.70875, -0.065625, 16388, -38, -389, , , , , 
0.665582, IMU_DATA, 0.5425, -0.713125, -0.100625, 16381, -18, -391, , , , , 
0.670382, IMU_DATA, 0.485625, -0.7, -0.074375, 16350, -25, -386, , , , , 
0.675183, IMU_DATA, 0.42875, -0.713125, -0.083125, 16365, -25, -369, , , , , 
0.679982, IMU_DATA, 0.450625, -0.686875, -0.11375, 16372, -18, -383, , , , , 
0.684783, IMU_DATA, 0.46375, -0.69125, -0.100625, 16390, -29, -386, , , , , 
0.689583, IMU_DATA, 0.494375, -0.713125, -0.07875, 16383, -17, -360, , , , , 
0.694382, IMU_DATA, 0.49875, -0.695625, -0.11375, 16389, -8, -382, , , , , 
0.699183, IMU_DATA, 0.441875, -0.695625, -0.1225, 16370, -1, -395, , , , , 
0.703983, IMU_DATA, 0.459375, -0.713125, -0.11375, 16378, -40, -369, , , , , 
0.708782, IMU_DATA, 0.665, -0.8225, -0.14, 16386, 0, -384, , , , , 
0.713583, IMU_DATA, 0.62125, -0.774375, -0.13125, 16421, 6, -386, , , , , 
0.718383, IMU_DATA, 0.424375, -0.60375, -0.100625, 16388, -36, -360, , , , , 
0.723182, IMU_DATA, 0.3675, -0.60375, -0.109375, 16369, -7, -356, , , , , 
0.727983, IMU_DATA, 0.48125, -0.774375, -0.135625, 16360, 15, -391, , , , , 
0.732783, IMU_DATA, 0.51625, -0.748125, -0.04375, 16364, -23, -386, , , , , 
0.737582, IMU_DATA, 0.424375, -0.60375, -0.004375, 16386, -22, -389, , , , , 
0.742383, IMU_DATA, 0.380625, -0.56875, -0.039375, 16376, -19, -380, , , , , 
0.747183, IMU_DATA, 0.35875, -0.546875, -0.065625, 16391, -38, -376, , , , , 
0.706482, IMG_DATA, , , , , , , , , , Image_00007 
0.751982, IMU_DATA, 0.398125, -0.595, -0.109375, 16392, -10, -355, , , , , 
0.756783, IMU_DATA, 0.5425, -0.686875, -0.16625, 16382, -6, -383, , , , , 
0.761582, IMU_DATA, 0.55125, -0.7175, -0.13125, 16395, -25, -379, , , , , 
0.766382, IMU_DATA, 0.51625, -0.713125, -0.109375, 16392, -23, -377, , , , , 
0.771183, IMU_DATA, 0.49875, -0.70875, -0.13125, 16361, 7, -395, , , , , 
0.775982, IMU_DATA, 0.538125, -0.7, -0.118125, 16404, -44, -380, , , , , 
0.780782, IMU_DATA, 0.538125, -0.7, -0.109375, 16382, -15, -395, , , , , 
0.785583, IMU_DATA, 0.538125, -0.735, -0.074375, 16374, -5, -388, , , , , 
0.790382, IMU_DATA, 0.58625, -0.7525, -0.091875, 16376, -44, -408, , , , , 
0.795182, IMU_DATA, 0.60375, -0.805, -0.188125, 16390, -12, -362, , , , , 
0.799983, IMU_DATA, 0.555625, -0.72625, -0.20125, 16368, -3, -354, , , , , 
0.804782, IMU_DATA, 0.476875, -0.651875, -0.126875, 16387, -10, -404, , , , , 
