Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
3.05176e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.0328674, IMG_DATA, , , , , , , , , , Image_00001 
0.0672607, IMG_DATA, , , , , , , , , , Image_00002 
0.10025, IMG_DATA, , , , , , , , , , Image_00003 
0.133667, IMG_DATA, , , , , , , , , , Image_00004 
0.300903, IMU_DATA, 1.11125, -0.441875, -0.90125, -145, -1665, -16426, , , , , 
0.301208, IMU_DATA, -0.109375, -0.888125, 2.24, -177, -1659, -16443, , , , , 
0.301498, IMU_DATA, 0.669375, -1.00187, -0.90125, -132, -1638, -16366, , , , , 
0.301804, IMU_DATA, 1.44375, -0.44625, -1.01062, -155, -1642, -16346, , , , , 
0.302109, IMU_DATA, 0.223125, -0.11375, 1.34312, -93, -1636, -16393, , , , , 
0.302414, IMU_DATA, 0.669375, -1.00187, -0.11375, -119, -1500, -16346, , , , , 
0.302704, IMU_DATA, 0.555625, -1.00187, -1.12437, -166, -1626, -16363, , , , , 
0.303009, IMU_DATA, 1.11125, -0.109375, 0.8925, -190, -1736, -16427, , , , , 
0.303299, IMU_DATA, 0.44625, -0.3325, -0.11375, -133, -1642, -16487, , , , , 
0.303604, IMU_DATA, 0.555625, -0.555625, -1.12437, -86, -1614, -16450, , , , , 
0.303909, IMU_DATA, 0.555625, 0.0, 1.00625, -130, -1632, -16473, , , , , 
0.304214, IMU_DATA, 0.555625, -1.225, -0.564375, -218, -1683, -16427, , , , , 
0.304504, IMU_DATA, 0.223125, -0.77875, -1.01062, -142, -1565, -16428, , , , , 
0.30481, IMU_DATA, 1.11125, -0.665, 1.00625, -120, -1676, -16405, , , , , 
0.305099, IMU_DATA, 0.336875, -0.223125, 0.109375, -215, -1684, -16420, , , , , 
0.305405, IMU_DATA, 0.555625, -0.888125, -0.678125, -155, -1636, -16444, , , , , 
