Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
705882.0, IMU_DATA, 100, -142, -21, 54, 16268, -799, , , , , 
710682.0, IMU_DATA, 117, -170, -33, 61, 16289, -806, , , , , 
715482.0, IMU_DATA, 142, -185, -33, 40, 16282, -798, , , , , 
720282.0, IMU_DATA, 111, -153, -25, 51, 16272, -805, , , , , 
725082.0, IMU_DATA, 90, -139, -23, 46, 16290, -795, , , , , 
729882.0, IMU_DATA, 112, -142, -24, 59, 16281, -815, , , , , 
734682.0, IMU_DATA, 126, -152, -20, 50, 16285, -798, , , , , 
739482.0, IMU_DATA, 133, -165, -23, 46, 16255, -799, , , , , 
744282.0, IMU_DATA, 125, -161, -14, 50, 16283, -817, , , , , 
749082.0, IMU_DATA, 131, -174, -12, 85, 16300, -815, , , , , 
753882.0, IMU_DATA, 135, -195, -22, 60, 16270, -809, , , , , 
713178, IMG_DATA, , , , , , , , , , Image_00007 
758682.0, IMU_DATA, 109, -172, -19, 44, 16288, -778, , , , , 
763482.0, IMU_DATA, 105, -156, -16, 58, 16290, -796, , , , , 
768282.0, IMU_DATA, 119, -155, -11, 58, 16271, -781, , , , , 
773082.0, IMU_DATA, 138, -149, -10, 53, 16270, -805, , , , , 
777882.0, IMU_DATA, 137, -144, -18, 52, 16267, -802, , , , , 
782682.0, IMU_DATA, 129, -144, -21, 65, 16257, -822, , , , , 
787482.0, IMU_DATA, 124, -146, -10, 62, 16261, -800, , , , , 
792282.0, IMU_DATA, 120, -148, -1, 60, 16263, -800, , , , , 
797082.0, IMU_DATA, 105, -139, -5, 59, 16269, -803, , , , , 
801882.0, IMU_DATA, 94, -134, -22, 32, 16279, -789, , , , , 
806682.0, IMU_DATA, 102, -146, -32, 40, 16282, -798, , , , , 
811482.0, IMU_DATA, 130, -155, -30, 79, 16274, -795, , , , , 
816282.0, IMU_DATA, 138, -164, -25, 44, 16267, -808, , , , , 
821082.0, IMU_DATA, 128, -159, -22, 44, 16274, -808, , , , , 
825882.0, IMU_DATA, 115, -136, -15, 44, 16274, -808, , , , , 
830682.0, IMU_DATA, 98, -130, -10, 60, 16270, -798, , , , , 
835482.0, IMU_DATA, 111, -158, -17, 47, 16272, -773, , , , , 
840282.0, IMU_DATA, 123, -167, -24, 60, 16251, -813, , , , , 
845082.0, IMU_DATA, 117, -164, -27, 16, 16254, -792, , , , , 
849882.0, IMU_DATA, 104, -158, -33, 67, 16265, -800, , , , , 
854682.0, IMU_DATA, 100, -140, -29, 60, 16279, -802, , , , , 
859482.0, IMU_DATA, 92, -129, -15, 57, 16276, -772, , , , , 
